날짜,"사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 대한민국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 미국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 아르헨티나","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 인도",참고사항
2025년 12월 15일,11,10,0,0,0,
2025년 12월 16일,10,10,0,0,0,
2025년 12월 17일,19,19,0,0,0,
2025년 12월 18일,11,11,0,0,0,
2025년 12월 19일,16,16,0,0,0,
2025년 12월 20일,11,10,0,0,0,
2025년 12월 21일,7,7,0,0,0,
2025년 12월 22일,11,11,0,0,0,
2025년 12월 23일,17,17,0,0,0,
2025년 12월 24일,11,11,0,0,0,
2025년 12월 25일,13,13,0,0,0,
2025년 12월 26일,8,8,0,0,0,
2025년 12월 27일,18,17,0,0,0,
2025년 12월 28일,15,15,0,0,0,
2025년 12월 29일,4,4,0,0,0,
2025년 12월 30일,5,5,0,0,0,
2025년 12월 31일,11,11,0,0,0,
2026년 1월 1일,9,9,0,0,0,
2026년 1월 2일,12,12,0,0,0,
2026년 1월 3일,15,15,0,0,0,
2026년 1월 4일,13,13,0,0,0,
2026년 1월 5일,13,13,0,0,0,버전 출시: 100%를 대상으로 3002 (3.0.1) 출시 시작됨.
2026년 1월 6일,20,20,0,0,0,버전 출시: 3002 (3.0.1) 출시를 중지함.
2026년 1월 7일,28,28,0,0,0,버전 출시: 100%를 대상으로 3005 (3.0.1) 출시 시작됨.
2026년 1월 8일,19,19,0,0,0,
2026년 1월 9일,12,12,0,0,0,
2026년 1월 10일,10,10,0,0,0,
2026년 1월 11일,22,22,0,0,0,
2026년 1월 12일,12,12,0,0,0,
2026년 1월 13일,18,18,0,0,0,
2026년 1월 14일,12,12,0,0,0,
2026년 1월 15일,10,10,0,0,0,
2026년 1월 16일,4,4,0,0,0,
2026년 1월 17일,11,11,0,0,0,
2026년 1월 18일,12,12,0,0,0,
2026년 1월 19일,10,9,1,0,0,
2026년 1월 20일,9,9,0,0,0,
2026년 1월 21일,10,10,0,0,0,
2026년 1월 22일,11,11,0,0,0,
2026년 1월 23일,6,6,0,0,0,
2026년 1월 24일,9,9,0,0,0,
2026년 1월 25일,11,11,0,0,0,
2026년 1월 26일,19,19,0,0,0,
2026년 1월 27일,15,15,0,0,0,
2026년 1월 28일,9,9,0,0,0,
2026년 1월 29일,8,8,0,0,0,
2026년 1월 30일,8,8,0,0,0,
2026년 1월 31일,15,15,0,0,0,
2026년 2월 1일,11,11,0,0,0,
2026년 2월 2일,10,10,0,0,0,
2026년 2월 3일,12,12,0,0,0,
2026년 2월 4일,13,13,0,0,0,
2026년 2월 5일,11,11,0,0,0,
2026년 2월 6일,9,8,0,0,0,
